"FishID","GEN","GenRKM","Region","min_time","year"
"Yuba_2021-001","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-002","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-003","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-004","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-005","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-006","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-007","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-008","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-009","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-010","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-011","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-012","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-013","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-014","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-015","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-016","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-017","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-018","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-019","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-020","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-021","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-022","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-023","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-024","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-025","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-026","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-027","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-028","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-029","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-030","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-031","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-032","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-033","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-034","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-035","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-036","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-037","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-038","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-039","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-040","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-041","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-042","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-043","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-044","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-045","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-046","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-047","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-048","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-049","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-050","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-051","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-052","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-053","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-054","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-055","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-056","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-057","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-058","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-059","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-060","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-061","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-062","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-063","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-064","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-065","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-066","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-067","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-068","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-070","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-071","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-072","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-074","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-075","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-076","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-077","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-078","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-079","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-080","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-081","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-082","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-083","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-084","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-085","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-086","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-087","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-088","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-089","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-090","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-091","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-092","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-093","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-094","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-095","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-096","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-097","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-098","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-099","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-100","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-101","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-102","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-103","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-104","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-105","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-106","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-107","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-108","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-109","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-110","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-111","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-112","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-113","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-114","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-115","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-116","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-117","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-118","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-119","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-120","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-121","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-122","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-123","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-124","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-125","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-126","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-127","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-128","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-129","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-130","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-131","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-132","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-133","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-134","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-135","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-136","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-137","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-138","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-139","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-140","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-141","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-142","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-143","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-144","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-145","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-146","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-147","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-148","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-149","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-150","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-151","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-152","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-153","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-154","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-155","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-156","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-157","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-158","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-159","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-160","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-161","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-162","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-163","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-164","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-165","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-166","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-167","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-168","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-169","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-170","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-171","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-172","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-173","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-174","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-175","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-176","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-177","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-178","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-179","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-180","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-181","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-182","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-183","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-184","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-185","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-186","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-187","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-188","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-189","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-190","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-191","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-192","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-193","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-194","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-195","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-196","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-197","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-198","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-199","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-200","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-201","Releasepoint",278.318,"Yuba R",2021-05-21 21:22:20,2021
"Yuba_2021-202","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-203","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-204","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-205","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-206","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-207","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-208","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-209","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-210","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-211","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-212","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-213","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-214","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-215","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-216","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-217","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-218","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-219","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-220","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-221","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-222","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-223","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-224","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-225","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-226","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-227","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-228","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-229","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-230","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-231","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-232","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-233","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-234","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-235","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-236","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-237","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-238","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-239","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-240","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-241","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-242","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-243","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-244","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-245","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-246","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-247","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-248","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-249","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-250","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-251","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-252","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-253","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-254","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-255","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-256","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-257","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-258","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-259","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-260","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
"Yuba_2021-261","Releasepoint",278.318,"Yuba R",2021-05-21 19:30:00,2021
